"Date Created","Date Modified","csv_post_title","csv_post_post","csv_post_excerpt","csv_post_categories"
"Jun 1, 2010 2:02 AM","Jun 1, 2010 2:03 AM","HORIZON ","The Horizon band provides exceptional live music entertainment for special events in the Maryland, DC, and the Northern Virginia region. This extremely talented group has a repertoire that spans at least five decades - from Big Band Swing and Broadway Standards to Motown, Classic Rock, 70's Disco, and Contemporary Top 40.  Every song style is performed with Authenticity, and an enthusiasm that demonstrates the band's desire to please everyone on the dance floor. In certain special instances, Horizon even offers optional songs sung in Spanish, French, Italian, and Hebrew.

Horizon has enjoyed consistent success both in the nightclub and the special events circuit. Today, Horizon is best known as popular live dance band for weddings and private celebrations, as well as corporate parties, galas, and fundraisers. Horizon's ability to cover so many different styles of dance music, makes them a perfect choice for events that cater to audiences of diverse ages and tastes.

Horizon consists of a 4-piece core that expands up to an 8-piece ensemble with a full horn section. This flexibility gives clients the option to select a high-quality band regardless of the size of the guest list. And Horizon will tailor the size of their sound system to be appropriate for the room or hall they are playing.

An experienced, energetic, and enthusiastic dance band is top priority for a successful special event or celebration. To assure that your guests will all have a wonderful time, choose the Horizon band for your next party!",,"Corporate Event Bands"
"Jun 1, 2010 2:03 AM","Jun 1, 2010 2:03 AM",KALEIDESCOPE,"Whether a wedding, bar/bat-mitzvah or a corporate event, Kaleidoscope has everything it takes to make your party a smashing success. As one top hit segues into another, your guests will be on the dance floor up to the very end and wanting more!

Kaleidoscope has been together nine years and have mastered the art of
running a great party while also maintaining comfortable volume levels;
making them one of the DC/Baltimore areas most sought after bands.


Kaleidoscope gives you...
A high energy, 10 piece dance band that delivers a tight, powerful mix of
t he best dance tunes from the 60's to contemporary Top 40.

A three piece horn section, jamming rhythm section and three outstanding
lead vocalists that guarantee the very best in live party entertainment.

Kaleidoscope is renowned for their incredible energy, on-stage charisma,
outstanding choreography, awesome vocal harmonies, funky grooves and tight arrangements. The band members are all friendly, courteous and extremely easy to work with. Their only goal is to give you the party of your lifetime!


What do Kaleidescope clients have to say about Kaleidescope?

The band was fabulous. They are consistently wonderful to work with and are professional and fun. Beyond that, they make the clients (parents of the bride as well as the bride and groom themselves) feel that they are excited and delighted to be performing at their event and there's no amount of training, begging, cajoling or explaining that can make people convey that to a client if they don't 'get' it. This event ran until 12:45 which is always a little dicey in Washington. At 12:45 last night, there were a solid 75-90 people still on the dance floor and they would happily have danced another ½ hour if the band had played longer. We left the guests wanting more. The family was thrilled and pronounced it a perfect night. I couldn't have been happier.

I hope you'll share my comments with everyone in the band. I love working with the group and wish I could do that every weekend.

Please make sure they know how much fun I had working with them. 
Ellen F. Dubin, Event Planning and Management",,"Corporate Event Bands"
"Jun 1, 2010 2:03 AM","Jun 1, 2010 2:04 AM","LIMITED EDITION","Limited Edition joined the Fresh Air Music Entertainment family in 2001, but has been a popular fixture in the Baltimore party scene for over 20 years. This 9-piece band features outstanding vocalists Billy Berman and Shannon Wollman, tight horns, and a groovin' rhythm section driven by the incomparable drumming of Michelle Humphries. They have the versatility necessary to please just about any musical taste, and a fun-filled, playful attitude that makes their performances a hit with everyone.

Bandleader Freddie Stevens is personable and engaging, and is attentive to the needs of each client. His many years of experience bring another important element to your party … peace of mind! By conducting thorough interviews prior to the day of the event, Mr. Stevens and Limited Edition arrive at the event with a game plan that makes the party flow. If needed, they even offer full wedding coordination from ceremony to reception.

Limited Edition is committed to delivering the highest quality possible at a competitive price. And, though their standard configuration includes a 3-piece horn section, they offer the option of performing with a single horn or without the horn section at all. Accommodating a musical request is not a problem, and Limited Edition is happy to learn a song for a first dance or other special occasion.

When you hire Limited Edition to play for your event you have made a wise investment. You can rest assured that the preparations will be thorough, the music will be great, and the performers will be completely entertaining and professional. In short, your party will be an absolute success!



What do Limited Edition clients have to say about Limited Edition?

""Everyone was blown away by Limited Edition's sound, their selection of music, and their enthusiastic performance. Thanks for making it a perfect night!",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:05 AM",MARQUISE,"Marquise is an incredibly seasoned and exciting nine-piece dance band featuring three dynamic lead singers, a sizzling horn section, and unbelievable four-piece rhythm section. They perform for numerous social and corporate events throughout the East Coast and elsewhere. Their talent has led to their being flown to exotic locations like Turnberry Resort in Ft. Lauderdale, Florida, the Hilton Waikoloa Village Resort in Hawaii for an international IBM conference, Bally's in Las Vegas to perform for literally thousands at a major labor union convention where they were also asked to perform overtime and a high-profile wedding celebration at the Ritz Carlton in Sarasota, Florida. Several band members have their own produced CD's available including one member who at one point had the #1 song on mp3.com with 700,000 downloads.

Marquise is extremely versatile performing the most popular dance styles of music available including R&B, pop, Motown, rock, standards, and swing. They perform for numerous social and corporate events throughout the East Coast, and elsewhere, including a week in Hawaii entertaining for IBM.

Marquise provides an exciting interactive experience leaving clients and their guests wishing the party could go on and on. Their enthusiasm is infectious and the band will ensure that your guests have the time of their lives!",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:09 AM",VINTAGE,"Vintage is an exciting addition to the Fresh Air Music Entertainment roster. Vintage showcases the talents of five male vocalists performing classic Motown and R&B hits, complete with the dazzling choreography that made groups like the Temptations, Four Tops, and Smokey Robinson so wildly popular in the 60s and 70s. The Motown Revue show features classic hits such as ""Get Ready,"" ""I Can't Help Myself,"" ""I Second That Emotion,"" ""Just My Imagination,"" and ""I Want You Back,"" to name just a few.  A second Vintage set includes music by the Commodores, the O’Jays, Earth Wind & Fire, Kool & the Gang, and other R & B vocal group favorites.

Vintage is accompanied by the band Fresh Air, including four brass, and one of the hottest rhythm sections in the DC area. Fresh Air also provides cocktail and dinner music before a Vintage performance, as well as variety dance music of all styles between and after Vintage show sets.

The Vintage/Fresh Air combination is perfect not only for corporate events and conventions, but also for those special private affairs that want to go for a little extra excitement and glitter. Contact one of our representatives for more details and booking information.


What do Vintage clients have to say about Vintage?

""Absolutely fantastic! I was thrilled at the reaction of our people to your show, and the fact they could dance at the same time was great! Couldn't have been happier if the Temps and Tops were there themselves.""",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:07 AM","PRIME TIME","Impress any crowd with Washington Talent's high drive, energetic band Prime Time. Unique to Prime Time is the notable DJ Hank, who can adjust to the preference of any corporate affair through an extensive music selection and years of experience. Prime Time's skilled front line is always a corporate event highlight. Lead by their energetic leader Aaron, the front line members have their own individual strengths that make them all memorable. Aaron is an extremely experienced performer whose repertoire of talent is unmatched. Katie, the band's only female performer, is an immaculate vocalist who is arguably the area's top female performer. Make Prime Time your band and check out what happens when high-energy entertainment meets tasteful and chic.

Prime Time books years in advance, click here to check availability or call (301) 762-1800! 

Watch Prime Time Live at the Band Showcase!

“I would recommend this group in a heart beat!  It took us two years to book them and it was worth it.”
Hellen Passano
Cotillion Party

",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:06 AM",MILLENNIUM,"Whether you are in the market for a high-energy interactive experience or a sophisticated affair, Millennium can provide the entertainment solution for your next event. They are no strangers to the entertainment industry and are guaranteed to make any event a success. Millennium keeps the dance floor packed and your guests anticipating each song to come.

No longer just a band, but now a full blown experience!

The front line of vocalists is anchored by Travis Tucker, 2004 American Idol Finalist. Travis learned so much while participating on the show that he decided to come back home and put his skills to use on the weekends while fulfilling his dream of being a full-time teacher. He is joined by the band's spirited leader, Iggy. Together, they put on incredible performances with polished moves and impressive vocals week after week. Millennium is bolstered by keyboard sensation and vocalist John Hall who is also the charismatic bandleader for the group. Millennium also comes fully equipped with its own towering horn section lead by Brian Sanders and Joe Calliano, both scholarly music professionals. But the band's secret ingredient for success has been drummer Brian freed who has been anchoring the group since its inception years ago.

Chic, quality entertainers that are committed to running your event flawlessly!


Learn more about Travis Tucker, 2004 American Idol Finalist


Click here to check Millennium’s availability for your upcoming company party or Gala or call (301)762-1800!

Watch Millennium Live at the Band Showcase!

“You kept everyone entertained and excited.  I can’t wait to have your band at our next event.”
Washington College ",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:09 AM","THE TIME MACHINE BAND","Time Machine is a high-quality, high-energy 10-piece variety dance band. The group was organized in 1996 by Jim Templin, leader of Fresh Air, a highly popular band in the DC Metro area. Templin needed a band that could fill in whenever his own band was already booked. Over the past decade, Time Machine has grown so much in popularity that the two groups often compete head-to-head for the same clientele.

Time Machine features musicians with exceptional versatility and a very high level of musical ability. There are no “weekend warriors” in Time Machine. Every player in this band is a full time professional musician. And every note you hear is performed live - without computer sequences or pre-recorded tape enhancements. Fewer and fewer bands can make that claim today.

Time Machine creates a party atmosphere whenever they perform. Numerous repeat clients have declared time and again that choosing this band guarantees that their event will be an overwhelming success. Much credit goes to three very talented and powerful front line singers, a killer horn section, plus a bandleader who listens to the client, plans the play list carefully, and never loses touch with the pulse of the party.

With Time Machine you can rest assured that the dance floor will be packed to capacity, and that your guests will talk about the ""incredible music"" for years to come.


What do Time Machine clients have to say about Time Machine?

""We received rave reviews about Time Machine. They were wonderful! Great Band!""",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:07 AM",PRELUDE,"Prelude's diverse front line interacts in a professional and engaging way to keep your guests dancing throughout the evening. Joe, Prelude's tall baritone, will ignite the sounds of Frank Sinatra, while Denise and Laurie, Preludes leading ladies, range anywhere from timeless artists such as Whitney Houston to new pop stars like Gwen Stefani. Prelude’s band leader Denise Gore uses her creativity to exceed every client's expectations. If you want to leave a lasting impression on your guests, Prelude is the band for your next event.


Book Prelude today!  Ask them about their 70’s and 80’s themed events.


Book Prelude today! Click here to check Prelude’s availability or call (301) 762-1800 for your next company party or Gala!

Watch Prelude Live at the Band Showcase!

On behalf of Outlanders, I want to extend our sincerest thanks for your great performance with the ""Boogie Woogie Bugle"" Party on Saturday.  Prelude was the perfect blend of music and entertainment for the event as well as the dancers providing a little extra flare for the performance.  The attendees thoroughly enjoyed the show and were extremely complimentary regarding Prelude.

I want to thank Washington Talent for working diligently to find us the right group and dancers for the event.  We look forward to the opportunity of working with all of you again in the future.

Most sincerely,
Suzanne Volpe
Outlanders Inc. Assistant

Prelude was totally flexible and the entire band was attentive to our needs.  Highly recommended and we will have them again in the future.”
Preston Gates Ellis & Rouvelas Meeds LLP
Holiday Party",,"Corporate Event Bands"
"Jun 1, 2010 2:04 AM","Jun 1, 2010 2:09 AM","TUXEDO JUNCTION","Washington Talent is the booking agent the Tuxedo Junction. Serving Washington DC, Maryland, Virginia and Pennsylvania, with great entertainment for Corporate Events, Weddings, Bar and Bat Mitzvahs.",,"Corporate Event Bands"
